Date/Time,Word Count,en,ja,ru
2025.04.14-21.51.25,3401,3401,0,0
2025.04.14-22.07.55,3407,3407,0,169
2025.04.14-22.12.44,3407,3407,0,175
2025.05.04-18.28.39,3407,3407,0,587
2025.05.04-18.30.02,3407,3407,290,587
